" Nom Ville ";"MAJ   ";" Code Postal ";" Code INSEE ";"Code Région";" Latitude ";" Longitude ";" Eloignement "
"Goujounac";"GOUJOUNAC";46250;46126;73;"44.566667";"1.216667";"0"
"Goulet";"GOULET";61150;61194;25;"48.733333";"-0.1";"0"
"Goulien";"GOULIEN";29770;29063;53;"48.05";"-4.6";"0"
"Goulier";"GOULIER";9220;9135;0;"42.0";"1.0";"0"
"Goulles";"GOULLES";19430;19086;74;"45.05";"2.083333";"0"
"Gouloux";"GOULOUX";58230;58129;26;"47.25";"4.083333";"0"
"Goult";"GOULT";84220;84051;93;"43.866667";"5.25";"0"
"Goulven";"GOULVEN";29890;29064;53;"48.633333";"-4.3";"0"
"Goumois";"GOUMOIS";25470;25280;43;"47.266667";"6.95";"0"
"Goupillières";"GOUPILLIERES";14210;14307;25;"49.033333";"-0.483333";"0"
"Goupillières";"GOUPILLIERES";76570;76311;23;"49.583333";"0.983333";"0"
"Goupillières";"GOUPILLIERES";78770;78278;11;"48.883333";"1.766667";"0"
"Goupillières";"GOUPILLIERES";27170;27290;23;"49.133333";"0.766667";"0"
"Gouraincourt";"GOURAINCOURT";55230;55216;41;"49.3";"5.65";"0"
"Gourbera";"GOURBERA";40990;40114;72;"43.8";"-1.05";"0"
"Gourbesville";"GOURBESVILLE";50480;50212;25;"49.416667";"-1.416667";"0"
"Gourbit";"GOURBIT";9400;9136;73;"42.841667";"1.533333";"0"
